i: 0	e_train: 2.08732 bits	a_train: 48.4 %	e_val: 0.95601 bits	a_val: 78.0 %
i: 1	e_train: 0.44813 bits	a_train: 91.1 %	e_val: 0.33437 bits	a_val: 93.0 %
i: 2	e_train: 0.27360 bits	a_train: 94.5 %	e_val: 0.27983 bits	a_val: 94.2 %
i: 3	e_train: 0.21079 bits	a_train: 95.8 %	e_val: 0.24357 bits	a_val: 95.0 %
i: 4	e_train: 0.17719 bits	a_train: 96.5 %	e_val: 0.22396 bits	a_val: 95.4 %
i: 5	e_train: 0.14541 bits	a_train: 97.0 %	e_val: 0.21101 bits	a_val: 95.5 %
i: 6	e_train: 0.12469 bits	a_train: 97.4 %	e_val: 0.19875 bits	a_val: 96.0 %
i: 7	e_train: 0.10840 bits	a_train: 97.7 %	e_val: 0.20014 bits	a_val: 95.9 %
i: 8	e_train: 0.09683 bits	a_train: 98.0 %	e_val: 0.18502 bits	a_val: 96.0 %
i: 9	e_train: 0.08036 bits	a_train: 98.4 %	e_val: 0.20143 bits	a_val: 95.9 %
i: 10	e_train: 0.07608 bits	a_train: 98.4 %	e_val: 0.18915 bits	a_val: 96.1 %
i: 11	e_train: 0.06635 bits	a_train: 98.6 %	e_val: 0.19491 bits	a_val: 96.2 %
i: 12	e_train: 0.06290 bits	a_train: 98.6 %	e_val: 0.19846 bits	a_val: 96.1 %
i: 13	e_train: 0.05642 bits	a_train: 98.8 %	e_val: 0.19501 bits	a_val: 96.2 %
i: 14	e_train: 0.04975 bits	a_train: 98.9 %	e_val: 0.19754 bits	a_val: 96.2 %
i: 15	e_train: 0.05066 bits	a_train: 98.9 %	e_val: 0.21172 bits	a_val: 95.9 %
i: 16	e_train: 0.04662 bits	a_train: 99.1 %	e_val: 0.19334 bits	a_val: 96.4 %
i: 17	e_train: 0.04111 bits	a_train: 99.1 %	e_val: 0.20093 bits	a_val: 96.2 %
i: 18	e_train: 0.04284 bits	a_train: 99.1 %	e_val: 0.20397 bits	a_val: 96.3 %
i: 19	e_train: 0.03845 bits	a_train: 99.2 %	e_val: 0.20219 bits	a_val: 96.3 %
i: 20	e_train: 0.03729 bits	a_train: 99.2 %	e_val: 0.20782 bits	a_val: 96.3 %
i: 21	e_train: 0.03384 bits	a_train: 99.3 %	e_val: 0.22283 bits	a_val: 96.2 %
i: 22	e_train: 0.03235 bits	a_train: 99.4 %	e_val: 0.21174 bits	a_val: 96.3 %
i: 23	e_train: 0.02620 bits	a_train: 99.4 %	e_val: 0.21143 bits	a_val: 96.4 %
i: 24	e_train: 0.02814 bits	a_train: 99.4 %	e_val: 0.20544 bits	a_val: 96.4 %
i: 25	e_train: 0.02632 bits	a_train: 99.4 %	e_val: 0.19839 bits	a_val: 96.5 %
i: 26	e_train: 0.02788 bits	a_train: 99.4 %	e_val: 0.20854 bits	a_val: 96.5 %
i: 27	e_train: 0.02413 bits	a_train: 99.5 %	e_val: 0.21825 bits	a_val: 96.3 %
i: 28	e_train: 0.01835 bits	a_train: 99.6 %	e_val: 0.20656 bits	a_val: 96.6 %
i: 29	e_train: 0.01884 bits	a_train: 99.6 %	e_val: 0.21264 bits	a_val: 96.4 %
i: 30	e_train: 0.02081 bits	a_train: 99.6 %	e_val: 0.22940 bits	a_val: 96.3 %
i: 31	e_train: 0.01942 bits	a_train: 99.6 %	e_val: 0.21954 bits	a_val: 96.3 %
i: 32	e_train: 0.01957 bits	a_train: 99.6 %	e_val: 0.20642 bits	a_val: 96.6 %
i: 33	e_train: 0.01719 bits	a_train: 99.7 %	e_val: 0.21911 bits	a_val: 96.4 %
i: 34	e_train: 0.01554 bits	a_train: 99.7 %	e_val: 0.21708 bits	a_val: 96.8 %
i: 35	e_train: 0.01552 bits	a_train: 99.7 %	e_val: 0.23313 bits	a_val: 96.3 %
i: 36	e_train: 0.01256 bits	a_train: 99.8 %	e_val: 0.22053 bits	a_val: 96.6 %
i: 37	e_train: 0.01358 bits	a_train: 99.8 %	e_val: 0.23265 bits	a_val: 96.5 %
i: 38	e_train: 0.01800 bits	a_train: 99.6 %	e_val: 0.23315 bits	a_val: 96.4 %
i: 39	e_train: 0.02162 bits	a_train: 99.5 %	e_val: 0.24167 bits	a_val: 96.2 %
i: 40	e_train: 0.01915 bits	a_train: 99.6 %	e_val: 0.23936 bits	a_val: 96.4 %
i: 41	e_train: 0.01796 bits	a_train: 99.6 %	e_val: 0.22847 bits	a_val: 96.5 %
i: 42	e_train: 0.01595 bits	a_train: 99.7 %	e_val: 0.23415 bits	a_val: 96.4 %
i: 43	e_train: 0.01341 bits	a_train: 99.7 %	e_val: 0.23621 bits	a_val: 96.4 %
i: 44	e_train: 0.01320 bits	a_train: 99.7 %	e_val: 0.22535 bits	a_val: 96.7 %
i: 45	e_train: 0.01504 bits	a_train: 99.7 %	e_val: 0.29007 bits	a_val: 95.9 %
i: 46	e_train: 0.02351 bits	a_train: 99.5 %	e_val: 0.25391 bits	a_val: 96.3 %
i: 47	e_train: 0.01588 bits	a_train: 99.6 %	e_val: 0.25913 bits	a_val: 96.1 %
i: 48	e_train: 0.01773 bits	a_train: 99.6 %	e_val: 0.25070 bits	a_val: 96.4 %
i: 49	e_train: 0.01395 bits	a_train: 99.7 %	e_val: 0.24855 bits	a_val: 96.4 %
i: 50	e_train: 0.01114 bits	a_train: 99.8 %	e_val: 0.24758 bits	a_val: 96.4 %
i: 51	e_train: 0.01063 bits	a_train: 99.8 %	e_val: 0.24683 bits	a_val: 96.5 %
i: 52	e_train: 0.00963 bits	a_train: 99.8 %	e_val: 0.25226 bits	a_val: 96.4 %
i: 53	e_train: 0.00969 bits	a_train: 99.8 %	e_val: 0.24240 bits	a_val: 96.7 %
i: 54	e_train: 0.01152 bits	a_train: 99.7 %	e_val: 0.24796 bits	a_val: 96.5 %
i: 55	e_train: 0.01241 bits	a_train: 99.8 %	e_val: 0.28509 bits	a_val: 96.1 %
i: 56	e_train: 0.02038 bits	a_train: 99.6 %	e_val: 0.25964 bits	a_val: 96.5 %
i: 57	e_train: 0.02447 bits	a_train: 99.5 %	e_val: 0.28505 bits	a_val: 96.1 %
i: 58	e_train: 0.02185 bits	a_train: 99.5 %	e_val: 0.28601 bits	a_val: 96.0 %
i: 59	e_train: 0.02022 bits	a_train: 99.5 %	e_val: 0.28849 bits	a_val: 96.0 %
i: 60	e_train: 0.02013 bits	a_train: 99.5 %	e_val: 0.25800 bits	a_val: 96.3 %
i: 61	e_train: 0.01676 bits	a_train: 99.7 %	e_val: 0.25186 bits	a_val: 96.3 %
i: 62	e_train: 0.01368 bits	a_train: 99.7 %	e_val: 0.25287 bits	a_val: 96.5 %
i: 63	e_train: 0.01008 bits	a_train: 99.8 %	e_val: 0.26233 bits	a_val: 96.5 %
i: 64	e_train: 0.00888 bits	a_train: 99.8 %	e_val: 0.25434 bits	a_val: 96.4 %
i: 65	e_train: 0.00951 bits	a_train: 99.8 %	e_val: 0.25939 bits	a_val: 96.4 %
i: 66	e_train: 0.00800 bits	a_train: 99.8 %	e_val: 0.25240 bits	a_val: 96.6 %
i: 67	e_train: 0.00836 bits	a_train: 99.9 %	e_val: 0.26090 bits	a_val: 96.6 %
i: 68	e_train: 0.00609 bits	a_train: 99.9 %	e_val: 0.25224 bits	a_val: 96.7 %
i: 69	e_train: 0.00750 bits	a_train: 99.9 %	e_val: 0.25803 bits	a_val: 96.7 %
i: 70	e_train: 0.01104 bits	a_train: 99.8 %	e_val: 0.26276 bits	a_val: 96.4 %
i: 71	e_train: 0.01062 bits	a_train: 99.8 %	e_val: 0.25454 bits	a_val: 96.5 %
i: 72	e_train: 0.01406 bits	a_train: 99.7 %	e_val: 0.27929 bits	a_val: 96.4 %
i: 73	e_train: 0.01362 bits	a_train: 99.7 %	e_val: 0.27868 bits	a_val: 96.3 %
i: 74	e_train: 0.01251 bits	a_train: 99.7 %	e_val: 0.28730 bits	a_val: 96.5 %
i: 75	e_train: 0.01283 bits	a_train: 99.7 %	e_val: 0.26543 bits	a_val: 96.6 %
i: 76	e_train: 0.01028 bits	a_train: 99.8 %	e_val: 0.27789 bits	a_val: 96.4 %
i: 77	e_train: 0.00705 bits	a_train: 99.8 %	e_val: 0.27017 bits	a_val: 96.5 %
i: 78	e_train: 0.00548 bits	a_train: 99.9 %	e_val: 0.26166 bits	a_val: 96.5 %
i: 79	e_train: 0.01012 bits	a_train: 99.8 %	e_val: 0.28221 bits	a_val: 96.5 %
i: 80	e_train: 0.01045 bits	a_train: 99.8 %	e_val: 0.29668 bits	a_val: 96.2 %
i: 81	e_train: 0.01174 bits	a_train: 99.8 %	e_val: 0.29849 bits	a_val: 96.3 %
i: 82	e_train: 0.01468 bits	a_train: 99.7 %	e_val: 0.29541 bits	a_val: 96.3 %
i: 83	e_train: 0.01532 bits	a_train: 99.7 %	e_val: 0.28574 bits	a_val: 96.4 %
i: 84	e_train: 0.02141 bits	a_train: 99.6 %	e_val: 0.28699 bits	a_val: 96.4 %
i: 85	e_train: 0.01491 bits	a_train: 99.6 %	e_val: 0.26402 bits	a_val: 96.5 %
i: 86	e_train: 0.00952 bits	a_train: 99.8 %	e_val: 0.27029 bits	a_val: 96.5 %
i: 87	e_train: 0.00784 bits	a_train: 99.8 %	e_val: 0.27285 bits	a_val: 96.5 %
i: 88	e_train: 0.00645 bits	a_train: 99.9 %	e_val: 0.26953 bits	a_val: 96.5 %
i: 89	e_train: 0.00642 bits	a_train: 99.9 %	e_val: 0.27985 bits	a_val: 96.5 %
i: 90	e_train: 0.00672 bits	a_train: 99.9 %	e_val: 0.27529 bits	a_val: 96.4 %
i: 91	e_train: 0.00590 bits	a_train: 99.9 %	e_val: 0.26806 bits	a_val: 96.6 %
i: 92	e_train: 0.00755 bits	a_train: 99.8 %	e_val: 0.28249 bits	a_val: 96.3 %
i: 93	e_train: 0.00864 bits	a_train: 99.8 %	e_val: 0.27841 bits	a_val: 96.6 %
i: 94	e_train: 0.01171 bits	a_train: 99.7 %	e_val: 0.28630 bits	a_val: 96.2 %
i: 95	e_train: 0.00872 bits	a_train: 99.8 %	e_val: 0.28338 bits	a_val: 96.4 %
i: 96	e_train: 0.00721 bits	a_train: 99.8 %	e_val: 0.28218 bits	a_val: 96.6 %
i: 97	e_train: 0.00661 bits	a_train: 99.9 %	e_val: 0.28062 bits	a_val: 96.5 %
i: 98	e_train: 0.01046 bits	a_train: 99.8 %	e_val: 0.31506 bits	a_val: 96.2 %
i: 99	e_train: 0.01172 bits	a_train: 99.7 %	e_val: 0.27945 bits	a_val: 96.3 %
i: 100	e_train: 0.01398 bits	a_train: 99.7 %	e_val: 0.31146 bits	a_val: 96.3 %
i: 101	e_train: 0.01688 bits	a_train: 99.6 %	e_val: 0.29891 bits	a_val: 96.3 %
i: 102	e_train: 0.01185 bits	a_train: 99.8 %	e_val: 0.27306 bits	a_val: 96.6 %
i: 103	e_train: 0.00810 bits	a_train: 99.8 %	e_val: 0.25902 bits	a_val: 96.8 %
i: 104	e_train: 0.00789 bits	a_train: 99.8 %	e_val: 0.30325 bits	a_val: 96.3 %
i: 105	e_train: 0.00841 bits	a_train: 99.8 %	e_val: 0.30554 bits	a_val: 96.4 %
i: 106	e_train: 0.00586 bits	a_train: 99.9 %	e_val: 0.28051 bits	a_val: 96.7 %
i: 107	e_train: 0.00403 bits	a_train: 99.9 %	e_val: 0.27280 bits	a_val: 96.8 %
i: 108	e_train: 0.00422 bits	a_train: 99.9 %	e_val: 0.28118 bits	a_val: 96.8 %
i: 109	e_train: 0.00428 bits	a_train: 99.9 %	e_val: 0.26701 bits	a_val: 96.8 %
i: 110	e_train: 0.00408 bits	a_train: 99.9 %	e_val: 0.27869 bits	a_val: 96.7 %
i: 111	e_train: 0.00399 bits	a_train: 99.9 %	e_val: 0.28830 bits	a_val: 96.7 %
i: 112	e_train: 0.00665 bits	a_train: 99.9 %	e_val: 0.31619 bits	a_val: 96.6 %
i: 113	e_train: 0.00670 bits	a_train: 99.9 %	e_val: 0.30473 bits	a_val: 96.5 %
i: 114	e_train: 0.00869 bits	a_train: 99.8 %	e_val: 0.31422 bits	a_val: 96.3 %
i: 115	e_train: 0.01104 bits	a_train: 99.8 %	e_val: 0.32664 bits	a_val: 96.4 %
i: 116	e_train: 0.01044 bits	a_train: 99.7 %	e_val: 0.29230 bits	a_val: 96.6 %
i: 117	e_train: 0.00954 bits	a_train: 99.8 %	e_val: 0.30104 bits	a_val: 96.5 %
i: 118	e_train: 0.01573 bits	a_train: 99.7 %	e_val: 0.30063 bits	a_val: 96.4 %
i: 119	e_train: 0.02006 bits	a_train: 99.6 %	e_val: 0.31278 bits	a_val: 96.3 %
i: 120	e_train: 0.02202 bits	a_train: 99.5 %	e_val: 0.29546 bits	a_val: 96.4 %
i: 121	e_train: 0.02006 bits	a_train: 99.5 %	e_val: 0.29490 bits	a_val: 96.4 %
i: 122	e_train: 0.01061 bits	a_train: 99.8 %	e_val: 0.27691 bits	a_val: 96.6 %
i: 123	e_train: 0.00754 bits	a_train: 99.8 %	e_val: 0.28543 bits	a_val: 96.8 %
i: 124	e_train: 0.00492 bits	a_train: 99.9 %	e_val: 0.26911 bits	a_val: 96.9 %
i: 125	e_train: 0.00323 bits	a_train: 99.9 %	e_val: 0.27119 bits	a_val: 97.0 %
i: 126	e_train: 0.00204 bits	a_train: 100.0 %	e_val: 0.28693 bits	a_val: 96.9 %
i: 127	e_train: 0.00409 bits	a_train: 99.9 %	e_val: 0.28434 bits	a_val: 96.6 %
e_test: 0.30685 bits	a_test: 96.8 %
